ENSG00000132170	PPARG_01
PPARG_01	ENSG00000124782
ENSG00000196693	ZNF33B_03
ENSG00000275410	HNF1B_04
ZNF33B_03	ENSG00000275410
HNF1B_04	ENSG00000132170
