COS52_02	ENSG00000164093
ENSG00000180257	ZNF816A_02
ENSG00000171056	SOX7_06
ZNF816A_02	ENSG00000143365
RORC_01	ENSG00000249709
ENSG00000143365	RORC_01
PITX2_Q2	ENSG00000180257
SOX7_06	ENSG00000185252
ENSG00000164093	PITX2_Q2
ENSG00000185252	COS52_02
